"ID","USU_CUENTA","UNICODE","FECHA","EDAD","SEXO","ACT_ECONOMICA","ACT_ECONOMICA_OTRO","NIVEL_ESTUDIOS","CUALES_PLACA_SON_CHIRI","CARACT_AYUDAN_IDENTIFICAR_CHIRI","DONDE_BUSCA_CHIRI","HABLADO_OIDO_VISTO_CHIRI","QUIEN_HABLADO_CHIRI","QUIEN_HABLADO_CHIRI_OTRO","OIDO_VISTO_INFORMACION_CHIRI","OIDO_VISTO_INFORMACION_CHIRI_OTRO","RECIENTEMENTE_CHIRI_ZONA","COMO_ENTERADO","COMO_ENTERADO_OTRO","SABES_SENIALES_CHIRI","CHIRI_TRANSMITIR_ENFERMEDAD","QUE_ENFERMEDADES_TRANSMITE_CHIRI","QUE_ENFERMEDADES_TRANSMITE_CHIRI_OTRO","ULTIMO_ANIO_VIO_CHIRI","REPORTO_DENUNCIO_CHIRI","AQUIEN_REPORTO","AQUIEN_REPORTO_OTRO","VINIERON_CONFIRMAR_PRESENCIA_INSECTO","VIERA_CHIRI_CASA_QUE_HARIA","VIERA_CHIRI_CASA_QUE_HARIA_OTRO","COMO_COMUNICARSE_ALERTACHIRI","SOSPECHAS_CHIRI_CASA_QUE_HARIA","SOSPECHAS_CHIRI_CASA_QUE_HARIA_OTRO","SABE_QUE_PASA_DENUNCIA_REPORTE_CHIRI_CASA","SABE_QUE_PASA_DENUNCIA_REPORTE_CHIRI_CASA_OTRO","ESTE_ANIO_HA_VISTO_PERSONAL_SALUD","ULTIMO_ANIO_PERSONAL_SALUD_TOCO_PUERTA_CASA","HACE_CUANTO_TIEMPO_VISITARON","PERMITIO_INSPECTOR_INGRESE_CASA","RAZON_NO_PERMITIO_INSPECTOR_INGRESE_CASA","RAZON_NO_PERMITIO_INSPECTOR_INGRESE_CASA_OTRO","VA_BODEGAS_CERCANAS","FRECUENCIA_COMPRA_BODEGA","HACE_USO_APP","HA_VISTO_IMAGEN_MOSTRADA","VIO_IMAGEN_1","VIO_IMAGEN_1_OTRO","VIO_IMAGEN_1_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_1_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_1_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_1_EN_CASA_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_2","VIO_IMAGEN_2_OTRO","VIO_IMAGEN_2_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_2_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_2_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_2_EN_CASA_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_3","VIO_IMAGEN_3_OTRO","VIO_IMAGEN_3_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_3_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_3_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_3_EN_CASA_U_OTRO_LUGAR_DONDE","NO_QUISO_RESPONDER_MAS","DATETIME","AGECLASS","OCCUPATIONS","OTHER_DISEASES","KNOWLEDGE_OF_DISEASE_TRANSMISSION","NS_NR","CHIRI_ADULTA","CHIRI_NIFA_3","CHIRI_NIFA_4_fl","CHIRI_NINFA_4_alim","COREIDO","CHINCHE_CAMA","CHINCHE_HEDIONDA","CUCARACHA","CHINCHE_CINTURON_AMARILLO","ESCARBAJO","GORGOJO","MOSCA","NS_NR_SENIALES","CHIRI_FECAL_TRAILS","CHINCHE_CAMA_FECES","MOUSE_FECES","MOLD","CHIRI_EGGS","CHIRI_FECAL_TRAIL","sum_vector_ID","sum_sign_ID","sum_correct_vector","sum_incorrect_vector","score_vectors","sum_correct_sign","sum_incorrect_sign","vector_cat","sign_cat","score_signs","score_signs_10","score_vectors_10","QUE_HARIA_CHIRIS","QUE_PASA_REPORTE","UNIVERSIDAD","AGENTE_COMUNIDAD","VECINO","FAMILIAR","PROFESIONAL_SALUD","OTRO","AMIGO","COLEGIO","OTRO_HABLADO","CUANDO_FUMIGARON","GOBIERNO_REGIONAL","PERIFONEO","NOTICIAS","PROFESIONAL_SALUD_TOT","POSTA","VECINDARIO","CALLE","OTRO_OIDO1","REDES_SOCIALES_OIDO","MEDIO_COMUNICACION_OIDO","CASA_FAMILIAR","COLEGIO_UNIVERSIDAD_OIDO","OTRO_OIDO","MEDIO_COMUNICACION"
151,"Mls","1.13.50.881","2022-02-28",34,"M","trabajador_independiente",NA,"universidad","chiri_nifa_4_fl","Color cafe","Rendijas","si_oido_hablar_v",NA,NA,"posta",NA,"no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"insecticida",NA,"inspector_revisa",NA,"no",NA,NA,NA,NA,NA,"si","5_6_veces_semana","facebook-instagram-whatsapp-tiktok","si","afiche",NA,"lugar_cercano",NA,NA,NA,"afiche",NA,"lugar_cercano",NA,NA,NA,"afiche",NA,"lugar_cercano",NA,NA,NA,0,"2022-02-28 14:38:07","32-45","trabajador_independiente",NA,"Chagas",0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,1,60,1,0,1,30,30,"solo ninf4 fl","NS_NR",NA,NA,11,"atraparia centro salud","Inspector revisa",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0
152,"Mar","1.13.5.30","2022-02-28",18,"F","estudiante",NA,"tecnico","chiri_adulta","Patas y panza","Nose","si_oido_hablar_v",NA,NA,"redes_sociales",NA,"no",NA,NA,"b","si","NS_NR",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"mataria",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-whatsapp-tiktok","si","facebook",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-28 14:38:07","18-31","estudiante",NA,"Si, pero no sabe/responde",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,"solo adulta","onlyincorrect(1)",-1,9,11,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0
153,"Mia","1.13.18.3","2022-02-28",22,"F","trabajador_independiente",NA,"tecnico","chiri_nifa_3-chiri_nifa_4_fl-cucaracha","Alargadito,color cafe","Conejeros","si_hablado","profesional_salud",NA,NA,NA,"no",NA,NA,"NS_NR","NS_NR",NA,NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"reportaria",NA,"inspector_revisa",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-whatsapp-tiktok","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 14:41:24","18-31","trabajador_independiente",NA,"NS_NR",0,0,1,1,0,0,0,0,1,0,0,0,0,1,10,10,10,10,10,10,3,60,2,1,1,30,30,"solo 3ninf","NS_NR",NA,NA,11,"atraparia centro salud","Inspector revisa",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0
154,"Rqa","1.13.1.399","2022-02-28",72,"M","trabajador_independiente",NA,"secundaria","chiri_adulta-chiri_ninfa_4_alim","Planas","Rendijas del patio","no",NA,NA,NA,NA,"no",NA,NA,"f","si","chagas",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"buscaria_informacion",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"no",NA,"facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 14:42:33","60-100","trabajador_independiente",NA,"Chagas",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,1,0,"adult+1ninf","solo fecal trail",1,11,12,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
155,"Oca","1.13.51.394","2022-02-28",64,"F","ama_casa",NA,"primaria","coreido-chiri_adulta-chiri_ninfa_4_alim","Sus manchas en las alas","En el techo","si_oido_hablar_v",NA,NA,"vecindario-medio_comunicacion",NA,"no",NA,NA,"a","si","chagas",NA,"no",NA,NA,NA,NA,"insecticida",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 14:49:04","60-100","ama_casa",NA,"Chagas",0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,1,1,0,"adult+2ninf","solo fecal trails",1,11,11,"insecticida","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,1
156,"Lmr","1.13.50.509","2022-02-28",42,"M","trabajador_independiente",NA,"primaria","chiri_adulta","Forma  color","Piedras animales","si_hablado","vecino",NA,NA,NA,"no",NA,NA,"NS_NR","NS_NR",NA,NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"insecticida",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","whatsapp","si","otro","Posta",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-28 14:55:06","32-45","trabajador_independiente",NA,"NS_NR",0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,1,60,1,0,1,30,30,"solo adulta","NS_NR",NA,NA,11,"mataria","NS_NR",0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
157,"Mpc","1.13.5.12","2022-02-28",45,"F","ama_casa",NA,"primaria","chiri_adulta","Por su espalda","Dentro de los cuadros y muebles","no",NA,NA,NA,NA,"no",NA,NA,"a","si","NS_NR",NA,"no",NA,NA,NA,NA,"insecticida",NA,NA,"insecticida",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","1_2_veces_semana","whatsapp","NS_NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:00:44","32-45","ama_casa",NA,"Si, pero no sabe/responde",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,"solo adulta","solo fecal trails",1,11,11,"insecticida","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
158,"Mls","1.13.50.687","2022-02-28",23,"F","estudiante",NA,"tecnico","NS_NR","No sabe","No sabe","no",NA,NA,NA,NA,"no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"buscaria_informacion",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-instagram-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:06:57","18-31","estudiante",NA,"Si, pero no sabe/responde",1,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,120,60,40,80,NA,30,30,"NS_NR","NS_NR",NA,NA,NA,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
159,"Zac","1.13.51.1307","2022-02-28",59,"M","trabajador_independiente",NA,"secundaria","chiri_adulta","Su cabeza es pequeña y el cuerpo plano","Los sillares por donde estan los animales","si_oido_hablar_v",NA,NA,"posta",NA,"no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"insecticida",NA,"otro","Se tiene que insistir para que vengan a la casa","no",NA,NA,NA,NA,NA,"si","diariamente","facebook-whatsapp","si","otro","Posta",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-28 15:12:29","46-59","trabajador_independiente",NA,"Chagas",0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,1,60,1,0,1,30,30,"solo adulta","NS_NR",NA,NA,11,"atraparia centro salud","Demoran en venir",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0
160,"Mar","1.13.8.26","2022-02-28",100,"F","ama_casa",NA,"ninguno","NS_NR","No sabe","No sabe","si_hablado","otro","Cochabamba",NA,NA,"NS_NR",NA,NA,"NS_NR","si","chagas",NA,"NS_NR",NA,NA,NA,NA,"insecticida",NA,NA,"insecticida",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","1_2_veces_semana","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:35:31","60-100","ama_casa",NA,"Chagas",1,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,120,60,40,80,NA,30,30,"NS_NR","NS_NR",NA,NA,NA,"insecticida","NS_NR",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
161,"Mls","1.13.48.154","2022-02-28",26,"F","ama_casa",NA,"secundaria","chiri_adulta-chiri_nifa_4_fl","Sus colores","En la cocina","si_oido_hablar_v",NA,NA,"posta",NA,"no",NA,NA,"a-e","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"otro","Limpieza","fumigan",NA,"no",NA,NA,NA,NA,NA,"si","5_6_veces_semana","facebook-instagram-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:40:20","18-31","ama_casa",NA,"Si, pero no sabe/responde",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,0,2,2,0,"adult+1ninf","fecaltrails+1sign",2,12,12,"atraparia centro salud","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0
162,"Oca","1.13.51.556","2022-02-28",70,"F","jubilado",NA,"ninguno","chiri_adulta","Por su color","En el corral de cuyes","si_oido_hablar_v",NA,NA,"vecindario",NA,"no",NA,NA,"f","si","otro","Enfermedad peligrosa ","no",NA,NA,NA,NA,"mataria",NA,NA,"mataria",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:51:05","60-100","jubilado","Enfermedad peligrosa","Enfermedad peligrosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,"solo adulta","solo fecal trail",1,11,11,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0
163,"Mpc","1.13.9.39","2022-02-28",21,"F","estudiante",NA,"universidad","chiri_adulta-chiri_nifa_4_fl","Por q media cafe","En los rincones","si_hablado","familiar",NA,NA,NA,"no",NA,NA,"c","si","NS_NR",NA,"no",NA,NA,NA,NA,"buscaria_informacion",NA,NA,"buscaria_informacion",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-instagram-whatsapp-tiktok","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:55:35","18-31","estudiante",NA,"Si, pero no sabe/responde",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,2,0,1,"adult+1ninf","onlyincorrect(1)",-1,9,12,"buscaria informacion","NS_NR",0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
164,"Rqa","1.13.1.157","2022-02-28",60,"F","ama_casa",NA,"secundaria","NS_NR","Ns","Cuartos","no",NA,NA,NA,NA,"no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","1_2_veces_semana","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:56:21","60-100","ama_casa",NA,"Chagas",1,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,120,60,40,80,NA,30,30,"NS_NR","NS_NR",NA,NA,NA,"atraparia centro salud","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
165,"Lmr","1.13.50.519","2022-02-28",20,"F","trabajador_independiente",NA,"tecnico","chiri_adulta-chiri_nifa_4_fl","Patas largas color forma del cuerpo","Sitios oscuros depósitos ","si_hablado","profesional_salud",NA,NA,NA,"no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","1_2_veces_semana","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 15:59:03","18-31","trabajador_independiente",NA,"Chagas",0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,2,60,2,0,2,30,30,"adult+1ninf","NS_NR",NA,NA,12,"atraparia centro salud","fumigan",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0
166,"Mar","1.13.9.113","2022-02-28",67,"F","ama_casa",NA,"primaria","chiri_adulta-chinche_hedionda","Plano","Trapos paredes","si_oido_hablar_v",NA,NA,"vecindario",NA,"no",NA,NA,"a","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"reportaria",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"no",NA,"ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 16:08:06","60-100","ama_casa",NA,"Chagas",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,0,"adult+1other","solo fecal trails",1,11,10,"atraparia centro salud","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0
167,"Mls","1.13.48.150C","2022-02-28",28,"F","trabajador_planilla",NA,"universidad","gorgojo","Es café cabeza puntiaguda","Grasa y en la suciedad","si_oido_hablar_v",NA,NA,"posta",NA,"no",NA,NA,"f","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"insecticida",NA,"inspector_revisa",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-instagram-whatsapp-tiktok","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 16:10:12","18-31","trabajador_planilla",NA,"Si, pero no sabe/responde",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,-1,1,0,"incorrect only(1)","solo fecal trail",1,11,9,"atraparia centro salud","Inspector revisa",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0
168,"Mpc","1.13.9.125","2022-02-28",30,"F","ama_casa",NA,"tecnico","coreido-chiri_adulta-chiri_nifa_4_fl","Por el color","Donde hay piedras","si_hablado","profesional_salud",NA,NA,NA,"no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"reportaria",NA,NA,"reportaria",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-instagram-whatsapp-tiktok","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 16:19:00","18-31","ama_casa",NA,"Si, pero no sabe/responde",0,1,0,1,0,1,0,0,0,0,0,0,0,1,10,10,10,10,10,10,3,60,2,1,1,30,30,"adult+2ninf","NS_NR",NA,NA,11,"reportaria","NS_NR",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0
170,"Oca","1.13.51.489","2022-02-28",54,"M","sin_empleo",NA,"primaria","coreido-chiri_adulta","Por su forma","En los corrales ","si_oido_hablar_v",NA,NA,"posta-vecindario",NA,"no",NA,NA,"a","si","chagas",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 16:25:19","46-59","sin_empleo",NA,"Chagas",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,0,"adult+1other","solo fecal trails",1,11,10,"mataria","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0
171,"Mls","1.13.48.160","2022-02-28",67,"M","trabajador_independiente",NA,"secundaria","chiri_nifa_4_fl-gorgojo","Es cafe","En los sillares","si_oido_hablar_v",NA,NA,"medio_comunicacion",NA,"no",NA,NA,"b-c-e","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"otro","Limpiar y buscar patio ","otro","No hacen nada","no",NA,NA,NA,NA,NA,"si","diariamente","facebook-instagram-whatsapp-tiktok","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 16:32:23","60-100","trabajador_independiente",NA,"Chagas",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,3,1,1,0,1,2,"solo 2ninf","onlyincorrect(1)",-1,9,10,"atraparia centro salud","No hacen nada",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,1
172,"Zac","1.25.34.149","2022-02-28",24,"M","trabajador_planilla",NA,"tecnico","chiri_adulta","Por los colores y su estructura de atras","En los acampados","si_oido_hablar_v",NA,NA,"posta-colegio_universidad-otro","Familiares","no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"aviso_alerta_chiri",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-instagram-whatsapp-tiktok","si","otro","Posta",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-28 16:36:26","18-31","trabajador_planilla",NA,"Si, pero no sabe/responde",0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,1,60,1,0,1,30,30,"solo adulta","NS_NR",NA,NA,11,"atraparia centro salud","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,1,1,1,0
173,"Mls","1.13.48.179","2022-02-28",25,"M","trabajador_independiente",NA,"tecnico","coreido-chiri_adulta-gorgojo","Tiene líneas en su cuerpo cuerpo redondo","Almacen","si_oido_hablar_v",NA,NA,"posta",NA,"no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"otro","Limpieza","NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-instagram-whatsapp-tiktok","si","afiche",NA,"lugar_cercano",NA,NA,NA,"afiche",NA,"lugar_cercano",NA,NA,NA,"afiche",NA,"lugar_cercano",NA,NA,NA,0,"2022-02-28 16:51:19","18-31","trabajador_independiente",NA,"Si, pero no sabe/responde",0,1,0,0,0,1,0,0,0,0,0,1,0,1,10,10,10,10,10,10,3,60,1,2,-1,30,30,"adult+2other","NS_NR",NA,NA,9,"mataria","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0
174,"Mls","1.13.48.175","2022-02-28",63,"F","ama_casa",NA,"primaria","chiri_adulta","Sus lineas","Donde esta los animales","no",NA,NA,NA,NA,"no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"buscaria_informacion",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 17:05:32","60-100","ama_casa",NA,"Si, pero no sabe/responde",0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,1,60,1,0,1,30,30,"solo adulta","NS_NR",NA,NA,11,"atraparia centro salud","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
175,"Lmr","1.13.50.475","2022-02-28",47,"F","trabajador_independiente",NA,"secundaria","chiri_nifa_3-chiri_adulta","Color y borde ","Sillares y donde los animales ","si_hablado","profesional_salud",NA,NA,NA,"no",NA,NA,"NS_NR","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"no",NA,"facebook-whatsapp-tiktok","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 17:15:46","46-59","trabajador_independiente",NA,"Si, pero no sabe/responde",0,1,1,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,2,60,2,0,2,30,30,"adult+1ninf","NS_NR",NA,NA,12,"atraparia centro salud","fumigan",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0
176,"Oca","1.13.51.965","2022-02-28",38,"F","ama_casa",NA,"secundaria","coreido-chiri_adulta-chiri_ninfa_4_alim","Su forma color y tamaño","En la perrera","si_oido_hablar_v",NA,NA,"vecindario-medio_comunicacion",NA,"no",NA,NA,"a-f","si","chagas",NA,"no",NA,NA,NA,NA,"insecticida",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-whatsapp-tiktok","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-28 17:28:26","32-45","ama_casa",NA,"Chagas",0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,2,1,1,2,0,"adult+2ninf","fecaltrails+1sign",2,12,11,"insecticida","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,1
