"ID","USU_CUENTA","UNICODE","FECHA","EDAD","SEXO","ACT_ECONOMICA","ACT_ECONOMICA_OTRO","NIVEL_ESTUDIOS","CUALES_PLACA_SON_CHIRI","CARACT_AYUDAN_IDENTIFICAR_CHIRI","DONDE_BUSCA_CHIRI","HABLADO_OIDO_VISTO_CHIRI","QUIEN_HABLADO_CHIRI","QUIEN_HABLADO_CHIRI_OTRO","OIDO_VISTO_INFORMACION_CHIRI","OIDO_VISTO_INFORMACION_CHIRI_OTRO","RECIENTEMENTE_CHIRI_ZONA","COMO_ENTERADO","COMO_ENTERADO_OTRO","SABES_SENIALES_CHIRI","CHIRI_TRANSMITIR_ENFERMEDAD","QUE_ENFERMEDADES_TRANSMITE_CHIRI","QUE_ENFERMEDADES_TRANSMITE_CHIRI_OTRO","ULTIMO_ANIO_VIO_CHIRI","REPORTO_DENUNCIO_CHIRI","AQUIEN_REPORTO","AQUIEN_REPORTO_OTRO","VINIERON_CONFIRMAR_PRESENCIA_INSECTO","VIERA_CHIRI_CASA_QUE_HARIA","VIERA_CHIRI_CASA_QUE_HARIA_OTRO","COMO_COMUNICARSE_ALERTACHIRI","SOSPECHAS_CHIRI_CASA_QUE_HARIA","SOSPECHAS_CHIRI_CASA_QUE_HARIA_OTRO","SABE_QUE_PASA_DENUNCIA_REPORTE_CHIRI_CASA","SABE_QUE_PASA_DENUNCIA_REPORTE_CHIRI_CASA_OTRO","ESTE_ANIO_HA_VISTO_PERSONAL_SALUD","ULTIMO_ANIO_PERSONAL_SALUD_TOCO_PUERTA_CASA","HACE_CUANTO_TIEMPO_VISITARON","PERMITIO_INSPECTOR_INGRESE_CASA","RAZON_NO_PERMITIO_INSPECTOR_INGRESE_CASA","RAZON_NO_PERMITIO_INSPECTOR_INGRESE_CASA_OTRO","VA_BODEGAS_CERCANAS","FRECUENCIA_COMPRA_BODEGA","HACE_USO_APP","HA_VISTO_IMAGEN_MOSTRADA","VIO_IMAGEN_1","VIO_IMAGEN_1_OTRO","VIO_IMAGEN_1_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_1_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_1_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_1_EN_CASA_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_2","VIO_IMAGEN_2_OTRO","VIO_IMAGEN_2_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_2_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_2_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_2_EN_CASA_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_3","VIO_IMAGEN_3_OTRO","VIO_IMAGEN_3_LUGAR_CERCANO_U_OTRO_LUGAR","VIO_IMAGEN_3_LUGAR_CERCANO_U_OTRO_LUGAR_DONDE","VIO_IMAGEN_3_EN_CASA_U_OTRO_LUGAR","VIO_IMAGEN_3_EN_CASA_U_OTRO_LUGAR_DONDE","NO_QUISO_RESPONDER_MAS","DATETIME","AGECLASS","OCCUPATIONS","OTHER_DISEASES","KNOWLEDGE_OF_DISEASE_TRANSMISSION","NS_NR","CHIRI_ADULTA","CHIRI_NIFA_3","CHIRI_NIFA_4_fl","CHIRI_NINFA_4_alim","COREIDO","CHINCHE_CAMA","CHINCHE_HEDIONDA","CUCARACHA","CHINCHE_CINTURON_AMARILLO","ESCARBAJO","GORGOJO","MOSCA","NS_NR_SENIALES","CHIRI_FECAL_TRAILS","CHINCHE_CAMA_FECES","MOUSE_FECES","MOLD","CHIRI_EGGS","CHIRI_FECAL_TRAIL","sum_vector_ID","sum_sign_ID","sum_correct_vector","sum_incorrect_vector","score_vectors","sum_correct_sign","sum_incorrect_sign","vector_cat","sign_cat","score_signs","score_signs_10","score_vectors_10","QUE_HARIA_CHIRIS","QUE_PASA_REPORTE","UNIVERSIDAD","AGENTE_COMUNIDAD","VECINO","FAMILIAR","PROFESIONAL_SALUD","OTRO","AMIGO","COLEGIO","OTRO_HABLADO","CUANDO_FUMIGARON","GOBIERNO_REGIONAL","PERIFONEO","NOTICIAS","PROFESIONAL_SALUD_TOT","POSTA","VECINDARIO","CALLE","OTRO_OIDO1","REDES_SOCIALES_OIDO","MEDIO_COMUNICACION_OIDO","CASA_FAMILIAR","COLEGIO_UNIVERSIDAD_OIDO","OTRO_OIDO","MEDIO_COMUNICACION"
61,"Lmr","1.13.50.104","2022-02-24",18,"M","estudiante",NA,"secundaria","coreido-chiri_adulta","Color forma tamaño","Acumulación de basura","si_oido_hablar_v",NA,NA,"posta",NA,"no",NA,NA,"b","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"buscaria_informacion",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-instagram-whatsapp","si","otro","Posta",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-24 15:37:01","18-31","estudiante",NA,"Si, pero no sabe/responde",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,1,"adult+1other","onlyincorrect(1)",-1,9,10,"atraparia centro salud","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0
62,"Lmr","1.13.50.108A","2022-02-24",33,"M","trabajador_planilla",NA,"secundaria","chiri_adulta-chiri_ninfa_4_alim","Tamaño y  color ","Piedras lugares oscuros y humedos","si_hablado","amigo",NA,NA,NA,"no",NA,NA,"b","si","NS_NR",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"no",NA,"facebook-whatsapp","si","otro","Posta",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,0,"2022-02-24 15:51:32","32-45","trabajador_planilla",NA,"Si, pero no sabe/responde",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,2,0,1,"adult+1ninf","onlyincorrect(1)",-1,9,12,"atraparia centro salud","fumigan",0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
63,"Mar","1.13.69.116","2022-02-24",41,"F","ama_casa",NA,"universidad","chiri_adulta","Como una pulga","Lugares oscuros","no",NA,NA,NA,NA,"NS_NR",NA,NA,"b","si","NS_NR",NA,"no",NA,NA,NA,NA,"otro","Decirle a su esposo es biologo",NA,"buscaria_informacion",NA,"inspector_revisa",NA,"no",NA,NA,NA,NA,NA,"no",NA,"facebook-instagram-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 15:54:01","32-45","ama_casa",NA,"Si, pero no sabe/responde",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,"solo adulta","onlyincorrect(1)",-1,9,11,"Others","Inspector revisa",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
64,"Mia","1.13.10.111","2022-02-24",41,"F","ama_casa",NA,"secundaria","chiri_nifa_3-chiri_adulta-chiri_nifa_4_fl-chiri_ninfa_4_alim","Espalda","Conejos","no",NA,NA,NA,NA,"no",NA,NA,"b-f","si","chagas",NA,"no",NA,NA,NA,NA,"atraparia_centro_salud",NA,NA,"otro","Buscaria y haria limpieza","otro","Demoran en venir","no",NA,NA,NA,NA,NA,"si","diariamente","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 16:15:27","32-45","ama_casa",NA,"Chagas",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,4,0,4,1,1,"adult+3ninf","onlyincorrect(1)",0,10,14,"atraparia centro salud","Demoran en venir",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
65,"Oca","1.13.51.267","2022-02-24",55,"F","trabajador_independiente",NA,"secundaria","chiri_nifa_4_fl-chiri_ninfa_4_alim","Su forma y color","Techos","si_oido_hablar_v",NA,NA,"medio_comunicacion",NA,"no",NA,NA,"a","si","chagas",NA,"no",NA,NA,NA,NA,"insecticida",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 16:19:10","46-59","trabajador_independiente",NA,"Chagas",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,2,1,0,"solo 2ninf","solo fecal trails",1,11,12,"insecticida","fumigan",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,1
66,"Rqa","1.13.2.129","2022-02-24",64,"F","trabajador_independiente",NA,"secundaria","chiri_adulta-chiri_ninfa_4_alim","Por ser plana rayas amarillas ","En los animales ","no",NA,NA,NA,NA,"no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"otro","Limpiar la casa ",NA,"insecticida",NA,"NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 16:27:42","60-100","trabajador_independiente",NA,"Chagas",0,1,0,0,1,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,2,60,2,0,2,30,30,"adult+1ninf","NS_NR",NA,NA,12,"limpiar","NS_NR",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
67,"Lmr","1.13.50.50A","2022-02-24",48,"F","ama_casa",NA,"secundaria","coreido-chiri_adulta","Color ","Debajo de los roperos piedras","si_hablado","otro","Perifoneo","posta",NA,"no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"insecticida",NA,"fumigan",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 16:36:23","46-59","ama_casa",NA,"Chagas",0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,10,10,10,10,10,2,60,1,1,0,30,30,"adult+1other","NS_NR",NA,NA,10,"mataria","fumigan",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
68,"Mls","1.13.50.939","2022-02-24",52,"F","trabajador_independiente",NA,"secundaria","coreido-chiri_adulta-chiri_nifa_4_fl-chiri_ninfa_4_alim","Que sale solo de noche","Donde esta acumulados las cosas","si_oido_hablar_v","profesional_salud",NA,"posta",NA,"no",NA,NA,"NS_NR","NS_NR",NA,NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"otro","Voy al centro de salud","NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 16:45:08","46-59","trabajador_independiente",NA,"NS_NR",0,1,0,1,1,1,0,0,0,0,0,0,0,1,10,10,10,10,10,10,4,60,3,1,2,30,30,"adult+3ninf","NS_NR",NA,NA,12,"mataria","NS_NR",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
69,"Mia","1.13.10.179","2022-02-24",48,"F","ama_casa",NA,"secundaria","escarabajo-chiri_ninfa_4_alim-mosca","Color y las patas","Pared pircada","no",NA,NA,NA,NA,"no",NA,NA,"a-e-f","NS_NR",NA,NA,"si_casa","no",NA,NA,NA,NA,NA,NA,"insecticida",NA,"inspector_revisa",NA,"no",NA,NA,NA,NA,NA,"si","3_4_veces_semana","ninguna_anteriores","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 16:59:49","46-59","ama_casa",NA,"NS_NR",0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,3,3,1,2,-1,3,0,"solo 3ninf","all3signs",3,13,9,NA,"Inspector revisa",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
70,"Zac","1.13.51.1420","2022-02-24",47,"F","trabajador_independiente",NA,"tecnico","chiri_adulta","Su forma","No sabe","si_hablado","vecino",NA,NA,NA,"no",NA,NA,"NS_NR","si","chagas",NA,"no",NA,NA,NA,NA,"mataria",NA,NA,"otro","Limpiaria","NS_NR",NA,"no",NA,NA,NA,NA,NA,"si","diariamente","facebook-whatsapp","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2022-02-24 17:07:03","46-59","trabajador_independiente",NA,"Chagas",0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,1,60,1,0,1,30,30,"solo adulta","NS_NR",NA,NA,11,"mataria","NS_NR",0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
